               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  24,            0.016654,           0.0096451,          0.00072214,             0.98854,             0.98996,             0.99417,             0.87847,            0.010984,           0.0047545,          0.00027815,           0.0088615,           0.0088615,           0.0088615
                  25,            0.016472,           0.0094328,          0.00068925,             0.98448,             0.99264,             0.99254,             0.87351,            0.011489,           0.0047345,          0.00028101,            0.008812,            0.008812,            0.008812
                  26,            0.016386,           0.0094514,          0.00065965,              0.9846,             0.99172,              0.9926,             0.88094,            0.010968,           0.0046839,          0.00026092,           0.0087625,           0.0087625,           0.0087625
                  27,            0.016025,           0.0093355,          0.00065016,             0.98452,             0.99119,             0.99269,             0.88834,            0.010515,           0.0045682,          0.00024702,            0.008713,            0.008713,            0.008713
                  28,            0.015884,           0.0091358,          0.00066117,             0.98706,             0.99274,             0.99322,             0.88171,            0.010558,           0.0045177,          0.00026088,           0.0086635,           0.0086635,           0.0086635
                  29,            0.015798,           0.0092833,          0.00070364,             0.98091,             0.99258,              0.9922,             0.88743,             0.01067,           0.0045207,          0.00025019,            0.008614,            0.008614,            0.008614
                  30,             0.01553,           0.0091296,          0.00063741,             0.98562,             0.99155,             0.99153,             0.86489,             0.01155,           0.0046795,          0.00030524,           0.0085645,           0.0085645,           0.0085645
                  31,            0.015752,           0.0090582,          0.00057193,             0.98342,             0.99239,             0.99362,             0.88582,            0.010495,           0.0044479,          0.00023571,            0.008515,            0.008515,            0.008515
                  32,            0.015148,           0.0088598,          0.00056442,             0.98603,             0.99295,             0.99269,             0.87567,            0.011488,           0.0045101,          0.00024018,           0.0084655,           0.0084655,           0.0084655
                  33,            0.015076,           0.0089144,          0.00060818,             0.98539,             0.99197,             0.99312,              0.8962,           0.0099417,            0.004409,          0.00022301,            0.008416,            0.008416,            0.008416
                  34,            0.014942,           0.0087853,          0.00057232,             0.98497,             0.99559,             0.99286,             0.88692,            0.010386,           0.0043128,          0.00022795,           0.0083665,           0.0083665,           0.0083665
