               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.014859,           0.0091864,          0.00063089,             0.98254,             0.99518,             0.99454,             0.90085,           0.0099287,           0.0042196,          0.00019574,           0.0085645,           0.0085645,           0.0085645
                  60,            0.014746,           0.0091052,          0.00072805,              0.9875,              0.9918,             0.99463,              0.8943,            0.010094,           0.0042532,          0.00019523,           0.0085398,           0.0085398,           0.0085398
                  61,            0.014541,           0.0090425,          0.00068533,             0.98499,             0.99346,             0.99458,             0.89281,            0.010033,           0.0041935,          0.00019656,            0.008515,            0.008515,            0.008515
                  62,              0.0148,           0.0089986,          0.00061693,             0.98548,             0.99346,             0.99461,             0.89952,           0.0098956,           0.0042065,          0.00019979,           0.0084903,           0.0084903,           0.0084903
                  63,             0.01448,           0.0088715,          0.00062474,             0.98317,             0.99412,              0.9946,             0.89285,            0.010213,           0.0042687,          0.00019527,           0.0084655,           0.0084655,           0.0084655
                  64,            0.014653,           0.0089675,          0.00064067,             0.98483,             0.99372,             0.99445,             0.90444,           0.0095333,           0.0041785,          0.00020828,           0.0084408,           0.0084408,           0.0084408
                  65,            0.014701,            0.008975,           0.0007087,             0.98588,             0.99463,             0.99457,             0.89737,            0.010047,           0.0042511,           0.0002016,            0.008416,            0.008416,            0.008416
                  66,            0.014736,           0.0091439,          0.00063546,             0.98631,              0.9952,             0.99431,             0.89856,           0.0099588,           0.0041994,          0.00019635,           0.0083913,           0.0083913,           0.0083913
                  67,            0.014254,           0.0090101,          0.00059786,             0.98631,              0.9927,             0.99448,              0.8995,            0.009794,           0.0041771,          0.00019856,           0.0083665,           0.0083665,           0.0083665
                  68,             0.01459,           0.0090131,          0.00065402,              0.9858,             0.99454,             0.99457,             0.90277,           0.0099456,           0.0041592,          0.00019512,           0.0083418,           0.0083418,           0.0083418
                  69,            0.014496,           0.0089585,          0.00063274,             0.98456,              0.9947,             0.99458,             0.88956,            0.010465,           0.0043066,           0.0001876,            0.008317,            0.008317,            0.008317
                  70,            0.014237,           0.0088055,          0.00062362,              0.9828,             0.99504,             0.99438,             0.90013,           0.0098917,           0.0041445,          0.00018454,           0.0082922,           0.0082922,           0.0082922
                  71,            0.014228,           0.0088199,          0.00062257,             0.98333,             0.99435,             0.99447,               0.898,           0.0099586,           0.0041636,          0.00019618,           0.0082675,           0.0082675,           0.0082675
                  72,            0.014418,           0.0089701,          0.00066901,             0.98549,             0.99359,             0.99445,             0.90085,           0.0099426,           0.0042176,          0.00018493,           0.0082428,           0.0082428,           0.0082428
                  73,             0.01408,           0.0087805,          0.00064558,             0.98269,             0.99612,             0.99449,             0.89976,           0.0098099,           0.0041842,          0.00018083,            0.008218,            0.008218,            0.008218
                  74,            0.014021,           0.0087393,          0.00061283,             0.98533,             0.99427,             0.99457,             0.90043,           0.0097896,           0.0041602,          0.00019982,           0.0081932,           0.0081932,           0.0081932
                  75,             0.01421,           0.0088679,          0.00076805,             0.97737,             0.99574,             0.99443,             0.89397,             0.01033,           0.0042491,          0.00031982,           0.0081685,           0.0081685,           0.0081685
                  76,            0.014198,           0.0087741,          0.00067524,             0.98554,             0.99488,             0.99454,             0.89595,            0.010078,           0.0042071,          0.00018008,           0.0081437,           0.0081437,           0.0081437
                  77,            0.013973,           0.0087565,          0.00060473,             0.98515,             0.99457,              0.9945,             0.90181,           0.0098053,           0.0041069,          0.00018079,            0.008119,            0.008119,            0.008119
                  78,            0.013851,           0.0087528,          0.00066317,             0.98533,             0.99573,             0.99447,              0.8992,            0.009831,            0.004108,          0.00017396,           0.0080942,           0.0080942,           0.0080942
                  79,            0.014154,           0.0087417,          0.00061776,             0.98421,             0.99479,             0.99444,             0.90325,           0.0096678,           0.0040715,           0.0001774,           0.0080695,           0.0080695,           0.0080695
                  80,            0.013734,           0.0085947,          0.00055593,             0.98611,             0.99523,              0.9945,             0.89991,           0.0098719,           0.0041081,          0.00017643,           0.0080447,           0.0080447,           0.0080447
                  81,            0.013664,           0.0086038,          0.00056886,             0.98588,              0.9946,             0.99434,             0.89939,            0.009709,           0.0041023,          0.00017492,             0.00802,             0.00802,             0.00802
                  82,            0.013844,           0.0085034,          0.00059923,             0.98507,             0.99495,             0.99428,             0.89983,           0.0098121,           0.0041212,          0.00017229,           0.0079953,           0.0079953,           0.0079953
                  83,            0.013816,           0.0086383,          0.00060889,             0.98592,             0.99428,               0.994,             0.90124,            0.009712,           0.0040824,          0.00017281,           0.0079705,           0.0079705,           0.0079705
                  84,            0.013696,           0.0085668,          0.00060193,             0.98667,              0.9938,             0.99406,             0.90441,           0.0094615,           0.0040298,          0.00017075,           0.0079457,           0.0079457,           0.0079457
                  85,            0.013545,           0.0085707,          0.00061144,             0.98606,             0.99482,             0.99429,             0.89918,           0.0096895,           0.0040722,           0.0001706,            0.007921,            0.007921,            0.007921
                  86,            0.013658,           0.0084318,          0.00063606,             0.98662,             0.99509,              0.9943,             0.90039,           0.0095854,           0.0040375,          0.00017223,           0.0078963,           0.0078963,           0.0078963
                  87,            0.013738,           0.0086108,          0.00058327,             0.98544,             0.99616,             0.99426,              0.9055,           0.0094158,           0.0039918,          0.00017501,           0.0078715,           0.0078715,           0.0078715
                  88,            0.013487,           0.0086133,          0.00063748,             0.98691,             0.99412,             0.99429,             0.90164,           0.0096827,           0.0040376,          0.00017156,           0.0078467,           0.0078467,           0.0078467
                  89,            0.013592,           0.0085831,          0.00060709,             0.98645,             0.99501,             0.99428,             0.90304,           0.0095261,           0.0040084,          0.00017548,            0.007822,            0.007822,            0.007822
                  90,            0.013443,           0.0084532,          0.00057575,              0.9851,             0.99606,             0.99437,             0.90174,            0.009637,           0.0040132,          0.00017483,           0.0077973,           0.0077973,           0.0077973
                  91,            0.013275,           0.0084908,          0.00056677,              0.9845,              0.9952,             0.99451,              0.9045,           0.0095163,           0.0040118,          0.00017582,           0.0077725,           0.0077725,           0.0077725
                  92,            0.013607,           0.0086029,          0.00059549,             0.98596,             0.99392,             0.99453,             0.90485,             0.00952,           0.0040071,           0.0001723,           0.0077478,           0.0077478,           0.0077478
                  93,            0.013452,           0.0084939,          0.00060093,             0.98694,             0.99249,             0.99452,             0.90492,           0.0094804,           0.0040051,          0.00017007,            0.007723,            0.007723,            0.007723
                  94,            0.013283,           0.0082812,          0.00064289,             0.98678,             0.99377,             0.99454,              0.9037,           0.0094148,           0.0040121,          0.00017426,           0.0076983,           0.0076983,           0.0076983
                  95,            0.013168,            0.008205,          0.00053461,             0.98632,             0.99394,             0.99447,             0.90436,           0.0093321,           0.0039837,          0.00017516,           0.0076735,           0.0076735,           0.0076735
                  96,            0.013319,           0.0083123,          0.00063465,             0.98688,             0.99328,             0.99445,             0.90521,           0.0094004,           0.0039675,          0.00017291,           0.0076488,           0.0076488,           0.0076488
                  97,            0.013269,           0.0084149,          0.00056671,              0.9847,             0.99518,             0.99445,             0.90625,           0.0093777,           0.0039752,          0.00017092,            0.007624,            0.007624,            0.007624
                  98,            0.013185,           0.0082311,           0.0006422,             0.98508,             0.99466,             0.99445,             0.90842,           0.0092404,            0.003949,            0.000171,           0.0075993,           0.0075993,           0.0075993
                  99,            0.013244,           0.0082438,          0.00058235,              0.9853,             0.99459,             0.99448,             0.90979,           0.0091924,           0.0039181,          0.00017025,           0.0075745,           0.0075745,           0.0075745
                 100,            0.013136,           0.0082989,          0.00056025,             0.98517,             0.99537,             0.99451,             0.91165,            0.009064,           0.0038808,          0.00016772,           0.0075498,           0.0075498,           0.0075498
                 101,            0.013252,           0.0082947,          0.00063245,             0.98501,             0.99575,             0.99445,             0.91223,           0.0090603,           0.0038729,          0.00016668,            0.007525,            0.007525,            0.007525
                 102,            0.013072,           0.0081771,          0.00054813,             0.98474,             0.99582,             0.99444,             0.91201,           0.0090523,           0.0038719,          0.00016741,           0.0075003,           0.0075003,           0.0075003
                 103,            0.013165,           0.0082266,          0.00060789,             0.98416,              0.9957,             0.99438,              0.9114,           0.0090001,           0.0038627,          0.00016906,           0.0074755,           0.0074755,           0.0074755
                 104,            0.012876,           0.0081331,          0.00070173,             0.98511,             0.99528,             0.99438,               0.911,           0.0089957,           0.0038756,          0.00017123,           0.0074507,           0.0074507,           0.0074507
                 105,            0.012907,           0.0082352,          0.00059893,             0.98538,             0.99518,             0.99446,             0.91056,           0.0090219,           0.0038838,          0.00016945,            0.007426,            0.007426,            0.007426
